id,question,answer,issue_id
27541,"What is the nature of the issue?  ","Stop sign violation",4764238
27542,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4764238
27543,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4764238
27538,"What is the nature of the issue?  ",Speeding,4779288
27539,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4779288
27540,"Please provide the make, model and license plate number of the vehicle, if known. ","just about every car going down the street",4779288
27535,"What is the nature of the issue?  ",Speeding,4785692
27536,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","Multiple cars speed down our street daily.  Many kids, elderly folks and pets on this street.",4785692
27537,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4785692
27532,"What is the nature of the issue?  ","None of the above (see below)",4786646
27533,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","parking of a large commercial vehicle on a residential street",4786646
27534,"Please provide the make, model and license plate number of the vehicle, if known. ","flat bed tow truck, BA 69284",4786646
27529,"What is the nature of the issue?  ",Speeding,4789248
27530,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","in the afternoon around 5 pm have Speeding and spin outs",4789248
27531,"Please provide the make, model and license plate number of the vehicle, if known. ","grey challenger white charger",4789248
27526,"What is the nature of the issue?  ",Speeding,4800960
27527,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","No Answer Given",4800960
27528,"Please provide the make, model and license plate number of the vehicle, if known. ","Several different cars.",4800960
27523,"What is the nature of the issue?  ","None of the above (see below)",4820497
27524,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","parking wrong way on a one street",4820497
27525,"Please provide the make, model and license plate number of the vehicle, if known. ","No Answer Given",4820497
27520,"What is the nature of the issue?  ","None of the above (see below)",4829199
27521,"Please provide additional details regarding the complaint above or, if the nature of the complaint is not listed above, please specify. ","construction vehicles blocking traffic",4829199
